Distance_deg,Density_Type,Predictor,Beta,SE,P_value,CI_Lower_95,CI_Upper_95,R2,Adj_R2,F_pvalue,N
4.0,Linear,Anterior chamber depth (mm),6137.701909470585,1393.643749496567,4.1253150107975006e-05,3353.5784635467953,8921.825355394374,0.2985110878284596,0.2327465023123777,0.0006809297198189155,71
4.0,Linear,Intercept,40861.77804760072,27076.907765973294,0.13619437344891008,-13230.563543709155,94954.11963891059,0.2985110878284596,0.2327465023123777,0.0006809297198189155,71
4.0,Angular,Axial length (mm),204.53868042384647,58.17945451942756,0.0008118017359427741,88.31185885835853,320.76550198933444,0.462045453580773,0.4116122148539705,3.1101565512191144e-07,71
4.0,Angular,Age,-5.784968784310015,11.456470246221729,0.6153268755148584,-28.671899128995477,17.10196156037545,0.462045453580773,0.4116122148539705,3.1101565512191144e-07,71
4.0,Angular,Spherical equivalent refraction (D),-11.575536688997808,27.542059919922945,0.6756844611249833,-66.59712653202266,43.446053154027034,0.462045453580773,0.4116122148539705,3.1101565512191144e-07,71
4.0,Angular,Gender,285.19177576822153,143.24419483586215,0.05075957543292471,-0.9714000642415499,571.3549516006847,0.462045453580773,0.4116122148539705,3.1101565512191144e-07,71
4.0,Angular,Corneal curvature (mm),-473.7861648014108,193.75737334172118,0.017237068440978786,-860.8610152688716,-86.71131433395004,0.462045453580773,0.4116122148539705,3.1101565512191144e-07,71
4.0,Angular,Anterior chamber depth (mm),478.42531761104124,128.9503253552678,0.0004357079767934833,220.8174287149081,736.0332065071743,0.462045453580773,0.4116122148539705,3.1101565512191144e-07,71
4.0,Angular,Intercept,-590.6328000852376,2505.3576764493178,0.8143810835788099,-5595.660125000511,4414.394524830036,0.462045453580773,0.4116122148539705,3.1101565512191144e-07,71
4.5,Linear,Axial length (mm),-338.0708710580275,643.5892609625994,0.6011969288495618,-1623.7882228834203,947.6464807673653,0.2143033315847157,0.14064426892078286,0.014280761660251082,71
4.5,Linear,Age,4.341019702754188,126.7330757895596,0.9727818123075654,-248.83740398494066,257.51944339044906,0.2143033315847157,0.14064426892078286,0.014280761660251082,71
4.5,Linear,Spherical equivalent refraction (D),-107.63990928479171,304.67411796258335,0.7250282122802427,-716.2964296417313,501.0166110721478,0.2143033315847157,0.14064426892078286,0.014280761660251082,71
4.5,Linear,Gender,3272.1936067788265,1584.5873127052168,0.04297778795563814,106.61654233203217,6437.77067122562,0.2143033315847157,0.14064426892078286,0.014280761660251082,71
4.5,Linear,Corneal curvature (mm),-4131.426404168693,2143.371156452011,0.05835323579819534,-8413.302523622082,150.44971528469523,0.2143033315847157,0.14064426892078286,0.014280761660251082,71
4.5,Linear,Anterior chamber depth (mm),4633.3373610571325,1426.4665298395116,0.0018519343388323864,1783.6428735050863,7483.031848609178,0.2143033315847157,0.14064426892078286,0.014280761660251082,71
4.5,Linear,Intercept,49352.55310328202,27714.6169339653,0.07970067359927362,-6013.759003755746,104718.86521031978,0.2143033315847157,0.14064426892078286,0.014280761660251082,71
4.5,Angular,Axial length (mm),209.20081820303636,61.66071028264875,0.0011911710591505505,86.01938876509708,332.38224764097566,0.4182048842534605,0.3636615921522224,3.168967204480393e-06,71
4.5,Angular,Age,-1.3378410908236913,12.141985492115163,0.9126089821063794,-25.594245570717355,22.918563389069973,0.4182048842534605,0.3636615921522224,3.168967204480393e-06,71
